make,model,variant,year,mileage_km,inspection_score,engine_cc,fuel_type,transmission,body_type,city,ownership_count,service_history,accident_history,price,synthetic_data_only
Toyota,Corolla,Altis,2016,180316,8.5,1800,Petrol,Automatic,Sedan,Faisalabad,1,full,none,3484218,True
Honda,City,1.2LS,2019,125859,5.9,1500,Petrol,Automatic,Sedan,Rawalpindi,1,full,major,3137485,True
Toyota,Yaris,GLI CVT,2017,176081,6.5,1500,Hybrid,Automatic,Sedan,Faisalabad,1,unknown,none,2957154,True
Suzuki,Alto,VXL AGS,2013,206905,8.6,660,Petrol,Manual,Hatchback,Lahore,3,full,none,987875,True
Honda,City,1.5 Aspire,2015,184536,6.2,1500,Petrol,Manual,Sedan,Lahore,2,full,none,2537763,True
Honda,City,1.2LS,2015,185585,8.7,1500,Petrol,Manual,Sedan,Faisalabad,3,full,none,2353299,True
Hyundai,Elantra,Ultimate,2014,216489,9.3,2000,Petrol,Automatic,Sedan,Faisalabad,1,full,major,2323082,True
Toyota,Corolla,Altis,2014,219023,8.1,1800,Petrol,Automatic,Sedan,Rawalpindi,2,unknown,minor,2379276,True
Toyota,Yaris,ATIV X,2013,231148,8.5,1500,Petrol,Automatic,Sedan,Islamabad,4,partial,none,2020477,True
Kia,Sportage,Alpha,2017,137517,7.9,2000,Petrol,Automatic,SUV,Karachi,2,full,none,4380468,True
Suzuki,Alto,VX,2015,229422,5.8,660,Petrol,Automatic,Hatchback,Karachi,4,full,none,906154,True
Kia,Picanto,MT,2020,104455,7.9,1000,Petrol,Automatic,Hatchback,Islamabad,1,full,none,4101769,True
Suzuki,Alto,VXL AGS,2020,109582,8.6,660,Petrol,Automatic,Hatchback,Lahore,1,full,none,3963727,True
Kia,Sportage,AWD,2021,110417,7.0,2000,Petrol,Automatic,SUV,Karachi,1,full,none,5357621,True
Toyota,Corolla,XLi,2018,139589,5.7,1800,Petrol,Manual,Sedan,Faisalabad,1,full,none,3555157,True
Kia,Sportage,Alpha,2022,62969,10.0,2000,Diesel,Automatic,SUV,Lahore,1,full,none,6800309,True
Toyota,Corolla,GLi,2012,266070,7.7,1800,Hybrid,Automatic,Sedan,Rawalpindi,2,partial,minor,1153647,True
Honda,Civic,RS,2023,54977,5.9,1800,Petrol,Automatic,Sedan,Faisalabad,3,full,none,5058349,True
Honda,Civic,RS,2013,228031,7.0,1800,Petrol,Automatic,Sedan,Lahore,2,full,none,1612268,True
Suzuki,Alto,VXL AGS,2023,47744,7.4,660,Petrol,Automatic,Hatchback,Rawalpindi,1,partial,none,4903087,True
Kia,Sportage,Alpha,2020,111242,8.7,2000,Diesel,Automatic,SUV,Lahore,1,full,minor,5036868,True
Kia,Sportage,AWD,2025,0,5.2,2000,Petrol,Automatic,SUV,Islamabad,1,full,none,6786771,True
Kia,Sportage,AWD,2017,169338,9.4,2000,Petrol,Automatic,SUV,Karachi,1,full,none,4986394,True
Suzuki,Alto,VXL AGS,2019,100596,6.6,660,Petrol,Manual,Hatchback,Lahore,2,partial,none,3210538,True
Honda,Civic,Oriel,2017,187848,6.5,1800,Hybrid,Automatic,Sedan,Lahore,2,partial,none,3357493,True
Honda,Civic,VTi,2024,1580,8.7,1800,Petrol,Automatic,Sedan,Islamabad,2,full,none,6390643,True
Honda,City,1.2LS,2024,30673,6.7,1500,Petrol,Automatic,Sedan,Lahore,3,full,none,5574119,True
Honda,City,1.5 Aspire,2016,183900,9.9,1500,Petrol,Automatic,Sedan,Rawalpindi,2,partial,none,3354052,True
Suzuki,Alto,VXL AGS,2016,203556,8.2,660,Petrol,Automatic,Hatchback,Rawalpindi,2,full,none,2001198,True
Toyota,Corolla,GLi,2018,172261,9.4,1800,Petrol,Manual,Sedan,Karachi,2,full,none,3885183,True
Hyundai,Tucson,FWD,2015,160485,9.2,2000,Petrol,Automatic,SUV,Faisalabad,2,full,minor,4043195,True
Kia,Picanto,AT,2019,156612,7.0,1000,Petrol,Automatic,Hatchback,Lahore,2,full,none,3073768,True
Toyota,Corolla,Altis,2016,181903,8.6,1800,Petrol,Manual,Sedan,Rawalpindi,2,partial,none,2374702,True
Hyundai,Tucson,AWD,2015,184883,8.9,2000,Hybrid,Automatic,SUV,Karachi,2,full,minor,3913808,True
Hyundai,Elantra,GLS,2025,24963,8.2,2000,Petrol,Automatic,Sedan,Faisalabad,2,unknown,minor,6067602,True
Kia,Picanto,MT,2023,33056,8.6,1000,Petrol,Automatic,Hatchback,Islamabad,2,full,none,5429829,True
Toyota,Yaris,GLI CVT,2016,160452,10.0,1500,Petrol,Manual,Sedan,Rawalpindi,2,partial,none,3169629,True
Honda,City,1.5 Aspire,2024,31062,6.2,1500,Hybrid,Automatic,Sedan,Rawalpindi,1,unknown,none,5648524,True
Hyundai,Elantra,Ultimate,2015,195019,9.2,2000,Petrol,Automatic,Sedan,Rawalpindi,2,partial,minor,2125608,True
Kia,Sportage,Alpha,2022,63654,5.6,2000,Petrol,Manual,SUV,Islamabad,1,full,minor,5535491,True
Hyundai,Tucson,FWD,2019,148247,8.0,2000,Diesel,Manual,SUV,Karachi,2,partial,minor,4042832,True
Honda,Civic,VTi,2019,129469,7.1,1800,Petrol,Automatic,Sedan,Islamabad,1,partial,minor,3993701,True
Honda,City,1.2LS,2021,105363,8.0,1500,Petrol,Automatic,Sedan,Rawalpindi,3,full,none,4366592,True
Suzuki,Alto,VXL AGS,2024,63795,9.2,660,Petrol,Manual,Hatchback,Islamabad,1,full,none,5236752,True
Suzuki,Swift,DLX,2018,153786,9.1,1200,Petrol,Automatic,Hatchback,Faisalabad,2,full,minor,3157566,True
Toyota,Yaris,ATIV X,2015,210140,7.8,1500,Petrol,Manual,Sedan,Rawalpindi,3,full,none,1603311,True
Suzuki,Swift,GLX CVT,2020,151689,8.0,1200,Petrol,Automatic,Hatchback,Rawalpindi,2,full,none,3488583,True
Suzuki,Alto,VXR,2023,55073,7.9,660,Petrol,Automatic,Hatchback,Islamabad,1,partial,none,5050607,True
Suzuki,Swift,GLX CVT,2015,206549,8.3,1200,Petrol,Automatic,Hatchback,Lahore,1,partial,none,2186651,True
Toyota,Corolla,GLi,2015,173789,7.1,1800,Petrol,Manual,Sedan,Karachi,4,partial,none,2785700,True
Hyundai,Elantra,GLS,2021,85601,9.1,2000,Petrol,Automatic,Sedan,Islamabad,3,full,minor,5397475,True
Toyota,Corolla,XLi,2024,47384,6.9,1800,Diesel,Manual,Sedan,Rawalpindi,2,partial,none,5485616,True
Hyundai,Tucson,AWD,2025,1821,7.1,2000,Petrol,Manual,SUV,Karachi,3,full,none,6907324,True
Toyota,Corolla,XLi,2018,153279,6.3,1800,Petrol,Manual,Sedan,Islamabad,2,full,none,3010779,True
Kia,Sportage,FWD,2013,209013,7.3,2000,Hybrid,Automatic,SUV,Karachi,1,partial,none,2931766,True
Hyundai,Tucson,AWD,2016,170801,6.4,2000,Petrol,Manual,SUV,Rawalpindi,2,partial,none,3477022,True
Kia,Sportage,AWD,2025,17369,8.1,2000,Petrol,Automatic,SUV,Rawalpindi,3,full,none,6996630,True
Suzuki,Swift,GLX CVT,2017,162409,6.7,1200,Petrol,Automatic,Hatchback,Islamabad,2,full,minor,2765395,True
Toyota,Yaris,ATIV X,2017,185117,9.2,1500,Hybrid,Automatic,Sedan,Karachi,2,full,none,3818423,True
Hyundai,Elantra,GLS,2016,203093,5.2,2000,Petrol,Automatic,Sedan,Karachi,1,partial,minor,1993872,True
Suzuki,Alto,VXL AGS,2018,190771,9.9,660,Hybrid,Automatic,Hatchback,Karachi,2,full,major,2950139,True
Hyundai,Tucson,FWD,2019,108073,6.7,2000,Hybrid,Automatic,SUV,Lahore,3,full,minor,4890192,True
Kia,Picanto,MT,2016,174856,5.5,1000,Petrol,Automatic,Hatchback,Lahore,1,full,none,1701693,True
Honda,Civic,RS,2018,173168,8.0,1800,Petrol,Automatic,Sedan,Rawalpindi,1,partial,minor,3194129,True
Hyundai,Elantra,GLS,2020,123787,7.6,2000,Petrol,Automatic,Sedan,Karachi,2,full,minor,4379817,True
Hyundai,Tucson,AWD,2021,81387,7.2,2000,Hybrid,Automatic,SUV,Faisalabad,1,full,minor,5439533,True
Kia,Sportage,AWD,2013,236611,9.6,2000,Petrol,Manual,SUV,Karachi,1,full,none,2304224,True
Toyota,Corolla,GLi,2024,45599,8.9,1800,Petrol,Manual,Sedan,Rawalpindi,2,partial,none,6002931,True
Hyundai,Elantra,Ultimate,2021,102454,8.8,2000,Petrol,Manual,Sedan,Karachi,3,full,none,5170560,True
Kia,Picanto,AT,2023,73419,7.8,1000,Petrol,Automatic,Hatchback,Rawalpindi,1,full,none,5279562,True
Suzuki,Alto,VXL AGS,2018,140437,9.3,660,Petrol,Automatic,Hatchback,Karachi,3,partial,minor,2750417,True
Suzuki,Alto,VXL AGS,2015,185152,6.5,660,Petrol,Automatic,Hatchback,Lahore,2,unknown,none,1589454,True
Hyundai,Elantra,Ultimate,2023,80761,9.7,2000,Petrol,Automatic,Sedan,Lahore,1,full,major,5744612,True
Suzuki,Swift,GLX CVT,2023,36460,9.3,1200,Petrol,Manual,Hatchback,Lahore,3,partial,major,4525903,True
Kia,Picanto,MT,2024,24875,8.4,1000,Petrol,Automatic,Hatchback,Islamabad,2,partial,major,5167046,True
Kia,Picanto,MT,2022,76031,9.9,1000,Hybrid,Manual,Hatchback,Rawalpindi,1,full,none,5167483,True
Toyota,Corolla,XLi,2020,121026,8.8,1800,Petrol,Automatic,Sedan,Faisalabad,1,partial,none,4756431,True
Hyundai,Tucson,FWD,2023,66162,6.9,2000,Diesel,Automatic,SUV,Karachi,4,full,minor,5905663,True
Toyota,Yaris,ATIV X,2015,241041,7.2,1500,Hybrid,Manual,Sedan,Lahore,2,partial,none,1643773,True
Kia,Sportage,Alpha,2025,27331,7.9,2000,Petrol,Automatic,SUV,Islamabad,2,partial,none,6934558,True
Honda,Civic,RS,2016,182607,7.2,1800,Hybrid,Manual,Sedan,Islamabad,2,full,none,3603555,True
Kia,Sportage,AWD,2013,243575,5.7,2000,Petrol,Manual,SUV,Faisalabad,1,partial,minor,1198270,True
Kia,Picanto,AT,2022,78214,7.7,1000,Petrol,Automatic,Hatchback,Karachi,1,unknown,none,4660120,True
Suzuki,Swift,GLX CVT,2021,85825,6.5,1200,Petrol,Manual,Hatchback,Karachi,3,partial,minor,3563654,True
